provider,data_gb,unlimited,price_gbp_month,contract_months,offer_notes,source,collected,verification_url,verified,,data_gb,price_actual,expected_price,,,,,provider,data_gb,price_gbp,delta_vs_curve
Sky Mobile,3,0,5,12,"data-only plan (calls/texts extra); promo, was 10",site-check,2026-08-17,https://www.sky.com/shop/mobile/plans,y,,120,11.95,15.03338021,,,,,Sky Mobile,40,18,5.074241914
Sky Mobile,5,0,12,12,data-only plan (calls/texts extra),site-check,2026-08-17,https://www.sky.com/shop/mobile/plans,y,,150,20,15.46146779,,,,,Rewild,10,15.5,5.233764924
Sky Mobile,10,0,7,12,data-only plan (calls/texts extra),site-check,2026-08-17,https://www.sky.com/shop/mobile/plans,y,,150,11.95,15.46146779,,,,,giffgaff,100,20,5.316392821
Sky Mobile,40,0,18,12,data-only plan (calls/texts extra),site-check,2026-08-17,https://www.sky.com/shop/mobile/plans,y,,150,12,15.46146779,,,,,Rewild,10,16,5.733764924
Sky Mobile,50,0,20,12,data-only plan (calls/texts extra),site-check,2026-08-17,https://www.sky.com/shop/mobile/plans,y,,150,12,15.46146779,,,,,Vodafone,120,21,5.966619794
SMARTY,5,0,6,1,unlimited calls & texts; rolling monthly,site-check,2026-08-17,https://smarty.co.uk/select-plan,y,,150,15,15.46146779,,,,,Three,150,22,6.538532206
SMARTY,40,0,10,1,unlimited calls & texts; rolling monthly,site-check,2026-08-17,https://smarty.co.uk/select-plan,y,,150,20,15.46146779,,,,,Three,250,23,6.558543728
SMARTY,100,0,12,1,unlimited calls & texts; rolling monthly,site-check,2026-08-17,https://smarty.co.uk/select-plan,y,,150,22,15.46146779,,,,,Sky Mobile,50,20,6.646154326
SMARTY,150,0,15,1,unlimited calls & texts,site-check,2026-08-17,https://smarty.co.uk/select-plan,y,,150,25,15.46146779,,,,,Vodafone,50,21,7.646154326
SMARTY,200,0,17,1,unlimited calls & texts; rolling monthly,site-check,2026-08-17,https://smarty.co.uk/select-plan,y,,175,12,15.75719668,,,,,Three,250,25,8.558543728
SMARTY,15,0,9,1,data-only plan (no calls/texts),site-check,2026-08-17,https://smarty.co.uk/select-plan,y,,200,20,16.01336868,,,,,Sky Mobile,75,23,8.868293711
SMARTY,40,0,13,1,data-only plan (no calls/texts),site-check,2026-08-17,https://smarty.co.uk/select-plan,y,,200,14,16.01336868,,,,,Three,25,21,8.975915831
SMARTY,100,0,17,1,data-only plan,site-check,2026-08-17,https://smarty.co.uk/select-plan,y,,200,25,16.01336868,,,,,giffgaff,200,25,8.986631316
SMARTY,,1,20,1,data-only unlimited plan,site-check,2026-08-17,https://smarty.co.uk/select-plan,y,,200,17,16.01336868,,,,,Vodafone,100,24,9.316392821
Spusu,40,0,9.9,1,EE network; unlimited mins; EU roaming,site-check,2026-08-17,https://www.spusu.co.uk/plans,y,,200,16,16.01336868,,,,,O2,20,21,9.404003419
Spusu,70,0,12.9,1,EE network; unlimited mins; EU roaming,site-check,2026-08-17,https://www.spusu.co.uk/plans,y,,200,29,16.01336868,,,,,Vodafone,150,25,9.538532206
Spusu,100,0,14.9,1,EE network; unlimited mins; EU roaming,site-check,2026-08-17,https://www.spusu.co.uk/plans,y,,210,17,16.1069697,,,,,Vodafone,30,22,9.626142804
Talkmobile,60,0,7.95,1,Vodafone network; unlimited mins & texts,site-check,2026-08-17,https://www.talkmobile.co.uk/sim-only-deals,y,,210,17,16.1069697,,,,,O2,3,18,10.04351491
Talkmobile,80,0,8.95,1,Vodafone network; unlimited mins & texts,site-check,2026-08-17,https://www.talkmobile.co.uk/sim-only-deals,y,,250,15,16.44145627,,,,,Vodafone,5,19,10.06352643
Talkmobile,100,0,9.95,1,Vodafone network; unlimited mins & texts,site-check,2026-08-17,https://www.talkmobile.co.uk/sim-only-deals,y,,250,14,16.44145627,,,,,Vodafone,1,16,10.15113703
Talkmobile,100,0,9.95,12,Vodafone network; 4.98 for first 3 months,site-check,2026-08-17,https://www.talkmobile.co.uk/sim-only-deals,y,,250,14,16.44145627,,,,,O2,100,25,10.31639282
Three,4,0,13,24,Lite plan; unlimited calls & texts,site-check,2026-08-17,https://www.three.co.uk/shop/sim-only/pay-monthly,y,,250,23,16.44145627,,,,,O2,50,24,10.64615433
Three,25,0,14,24,Lite plan; rises to £14.80 Apr 2027 and £16.60 Apr 2028,site-check,2026-08-17,https://www.three.co.uk/shop/sim-only/pay-monthly,y,,250,25,16.44145627,,,,,O2,20,24,12.40400342
Three,40,0,12,24,Lite plan; unlimited calls & texts,site-check,2026-08-17,https://www.three.co.uk/shop/sim-only/pay-monthly,y,,260,18,16.51669887,,,,,Vodafone,200,29,12.98663132
Three,120,0,16,24,Lite plan; rises to £18.30 Apr 2027 and £20.60 Apr 2028,site-check,2026-08-17,https://www.three.co.uk/shop/sim-only/pay-monthly,y,,260,18,16.51669887,,,,,O2,3,21,13.04351491
Three,150,0,20,24,Lite plan; unlimited calls & texts,site-check,2026-08-17,https://www.three.co.uk/shop/sim-only/pay-monthly,y,,300,16,16.7912293,,,,,O2,100,28,13.31639282
Three,250,0,23,24,Lite plan; unlimited calls & texts,site-check,2026-08-17,https://www.three.co.uk/shop/sim-only/pay-monthly,y,,300,14,16.7912293,,,,,O2,20,27,15.40400342
Three,25,0,16,12,Lite plan; unlimited calls & texts,site-check,2026-08-17,https://www.three.co.uk/shop/sim-only/pay-monthly,y,,310,19,16.85413462,,,,,O2,3,24,16.04351491
Three,120,0,18,12,Lite plan; unlimited calls & texts,site-check,2026-08-17,https://www.three.co.uk/shop/sim-only/pay-monthly,y,,310,19,16.85413462,,,,,O2,100,31,16.31639282
Three,150,0,22,12,Lite plan; unlimited calls & texts,site-check,2026-08-17,https://www.three.co.uk/shop/sim-only/pay-monthly,y,,,,,,,,,,,,
Three,250,0,25,12,Lite plan; unlimited calls & texts,site-check,2026-08-17,https://www.three.co.uk/shop/sim-only/pay-monthly,y,,,,,,,,,,,,
Three,,1,31,12,Lite plan; unlimited calls & texts,site-check,2026-08-17,https://www.three.co.uk/shop/sim-only/pay-monthly,y,,,,,,,,,,,,
Three,25,0,21,1,Lite plan; unlimited calls & texts,site-check,2026-08-17,https://www.three.co.uk/shop/sim-only/pay-monthly,y,,,,,,,,,,,,
Three,,1,36,1,Lite plan,site-check,2026-08-17,https://www.three.co.uk/shop/sim-only/pay-monthly,y,,,,,,,,,,,,
Three,,1,25,1,Value plan; rolling monthly,site-check,2026-08-17,https://www.three.co.uk/shop/sim-only/pay-monthly,y,,,,,,,,,,,,
Three (Fonehouse),8,0,8,24,Three; 25 cashback; rises to 9.90 Apr 2027,site-check,2026-08-17,https://www.fonehouse.co.uk/sim-only-deals,y,,,,,,,,,,,,
Three (Fonehouse),100,0,15,12,Three; 48 auto cashback; rises to 17.30 Apr 2027,site-check,2026-08-17,https://www.fonehouse.co.uk/sim-only-deals,y,,,,,,,,,,,,
Vodafone (Fonehouse),70,0,12,12,Vodafone RED; rises to 14.50 Apr 2027,site-check,2026-08-17,https://www.fonehouse.co.uk/sim-only-deals,y,,,,,,,,,,,,
Vodafone (Fonehouse),120,0,14,12,Vodafone RED; rises to 16.50 Apr 2027,site-check,2026-08-17,https://www.fonehouse.co.uk/sim-only-deals,y,,,,,,,,,,,,
Vodafone (Fonehouse),15,0,6.95,12,Vodafone Savvy; no price rise listed,site-check,2026-08-17,https://www.fonehouse.co.uk/sim-only-deals,y,,,,,,,,,,,,
Vodafone (Fonehouse),100,0,12,12,Vodafone Basics; rises to 13.50 Apr 2027,site-check,2026-08-17,https://www.fonehouse.co.uk/sim-only-deals,y,,,,,,,,,,,,
Vodafone (Fonehouse),200,0,16,12,Vodafone RED; 5 auto cashback; rises to 18.50 Apr 2027,site-check,2026-08-17,https://www.fonehouse.co.uk/sim-only-deals,y,,,,,,,,,,,,
Vodafone (Fonehouse),40,0,7.95,12,Vodafone Savvy; no price rise listed,site-check,2026-08-17,https://www.fonehouse.co.uk/sim-only-deals,y,,,,,,,,,,,,
Three (Fonehouse),12,0,9,12,Three; 12 auto cashback; rises to 10.90 Apr 2027,site-check,2026-08-17,https://www.fonehouse.co.uk/sim-only-deals,y,,,,,,,,,,,,
Vodafone (Fonehouse),120,0,11.95,12,Vodafone Savvy; 10 auto cashback,site-check,2026-08-17,https://www.fonehouse.co.uk/sim-only-deals,y,,,,,,,,,,,,
Vodafone,1,0,16,24,speed capped 100Mbps; rises Apr 2027 and Apr 2028,site-check,2026-08-17,https://www.vodafone.co.uk/sim-only/best-sim-only-deals,y,,,,,,,,,,,,
Vodafone,5,0,19,24,speed capped 100Mbps; rises Apr 2027 and Apr 2028,site-check,2026-08-17,https://www.vodafone.co.uk/sim-only/best-sim-only-deals,y,,,,,,,,,,,,
Vodafone,30,0,22,24,speed capped 100Mbps; rises Apr 2027 and Apr 2028,site-check,2026-08-17,https://www.vodafone.co.uk/sim-only/best-sim-only-deals,y,,,,,,,,,,,,
Vodafone,50,0,21,24,Red plan; rises Apr 2027 and Apr 2028,site-check,2026-08-17,https://www.vodafone.co.uk/sim-only/best-sim-only-deals,y,,,,,,,,,,,,
Vodafone,150,0,25,24,Red plan; rises Apr 2027 and Apr 2028,site-check,2026-08-17,https://www.vodafone.co.uk/sim-only/best-sim-only-deals,y,,,,,,,,,,,,
Vodafone,200,0,29,24,speed capped 100Mbps; rises Apr 2027 and Apr 2028,site-check,2026-08-17,https://www.vodafone.co.uk/sim-only/best-sim-only-deals,y,,,,,,,,,,,,
,,,,,,site-check,2026-08-17,https://www.vodafone.co.uk/sim-only/best-sim-only-deals,y,,,,,,,,,,,,
unlimited calls & texts,,,,,,site-check,2026-08-17,https://www.vodafone.co.uk/sim-only/best-sim-only-deals,y,,,,,,,,,,,,
,,,,,,site-check,2026-08-17,https://www.vodafone.co.uk/sim-only/best-sim-only-deals,y,,,,,,,,,,,,
,,,,,,site-check,2026-08-17,https://www.vodafone.co.uk/sim-only/best-sim-only-deals,y,,,,,,,,,,,,
,,,,,,site-check,2026-08-17,https://www.vodafone.co.uk/sim-only/best-sim-only-deals,y,,,,,,,,,,,,
,,,,,,site-check,2026-08-17,https://www.voxi.co.uk/sim-only-plans,y,,,,,,,,,,,,
,,,,,,site-check,2026-08-17,https://www.voxi.co.uk/sim-only-plans,y,,,,,,,,,,,,
,,,,,,site-check,2026-08-17,https://www.voxi.co.uk/sim-only-plans,y,,,,,,,,,,,,
VOXI,,1,35,1,unlimited data; price locked,site-check,2026-08-17,https://www.voxi.co.uk/sim-only-plans,y,,,,,,,,,,,,
Zable,3,0,5,1,30-day rolling; Vodafone network,site-check,2026-08-17,https://zable.co.uk/mobile-plans,y,,,,,,,,,,,,
Zable,5,0,7.5,1,30-day rolling; Vodafone network,site-check,2026-08-17,https://zable.co.uk/mobile-plans,y,,,,,,,,,,,,
Zable,10,0,10,1,30-day rolling; Vodafone network,site-check,2026-08-17,https://zable.co.uk/mobile-plans,y,,,,,,,,,,,,
Zable,20,0,14,1,30-day rolling; Vodafone network,site-check,2026-08-17,https://zable.co.uk/mobile-plans,y,,,,,,,,,,,,
